publishingorgkey	publishername	publisherurl	total_records	records_with_recordedbyid	pct_with_recordedbyid	records_with_valid_recordedbyid	pct_valid_recordedbyid	records_with_invalid_recordedbyid	pct_invalid_recordedbyid	records_with_orcid	pct_with_orcid	records_with_google_scholar	pct_with_google_scholar	records_with_researcherid	pct_with_researcherid	records_with_wikidata	pct_with_wikidata	records_with_linkedin	pct_with_linkedin
afae4f45-b85e-4a0e-9d93-f30f044e8140	Museum of New Zealand Te Papa Tongarewa	https://www.gbif.org/publisher/afae4f45-b85e-4a0e-9d93-f30f044e8140	260772	215888	82.78802938965840	40800	15.64585154847913	175088	67.14217784117927	40800	15.64585154847913	0	0.00000000000000	0	0.00000000000000	0	0.00000000000000	0	0.00000000000000
0238226a-9c79-4717-933a-cf0fd5045ba8	Universidad Simón Bolívar	https://www.gbif.org/publisher/0238226a-9c79-4717-933a-cf0fd5045ba8	98	81	82.65306122448980	61	62.24489795918367	20	20.40816326530612	4	4.08163265306122	61	62.24489795918367	0	0.00000000000000	0	0.00000000000000	0	0.00000000000000
d86a72a1-368c-42f3-ad96-9661523a716b	Herbarium of University of Coimbra (COI)	https://www.gbif.org/publisher/d86a72a1-368c-42f3-ad96-9661523a716b	111395	85341	76.61115849005790	85341	76.61115849005790	0	0.00000000000000	8696	7.80645450873019	0	0.00000000000000	0	0.00000000000000	78428	70.40531442165268	0	0.00000000000000
04ce62dd-30ec-4d98-8b30-b09cafc3ac38	Isagen S.A. E.S.P.	https://www.gbif.org/publisher/04ce62dd-30ec-4d98-8b30-b09cafc3ac38	173483	121293	69.91636068087363	121293	69.91636068087363	0	0.00000000000000	121293	69.91636068087363	0	0.00000000000000	0	0.00000000000000	0	0.00000000000000	0	0.00000000000000
30ff48bd-4dd1-429d-a5a5-348c8e5fbfb1	Universidad del Magdalena	https://www.gbif.org/publisher/30ff48bd-4dd1-429d-a5a5-348c8e5fbfb1	123717	84306	68.14423240136764	83174	67.22924092889417	1132	0.91499147247347	82741	66.87924860770953	815	0.65876152832675	0	0.00000000000000	0	0.00000000000000	0	0.00000000000000
ea573d31-79fd-44f2-ada9-303e820feb4a	Alcaldía de Pitalito	https://www.gbif.org/publisher/ea573d31-79fd-44f2-ada9-303e820feb4a	4028	2635	65.41708043694141	2635	65.41708043694141	0	0.00000000000000	2635	65.41708043694141	0	0.00000000000000	0	0.00000000000000	0	0.00000000000000	0	0.00000000000000
eace4687-50e8-4f9a-829b-29ff8ff1fa8b	Jardín Botánico de Bogotá "José Celestino Mutis"	https://www.gbif.org/publisher/eace4687-50e8-4f9a-829b-29ff8ff1fa8b	127628	82196	64.40279562478453	78601	61.58601560786034	3595	2.81678001692419	76861	60.22267840912652	1504	1.17842479706647	0	0.00000000000000	0	0.00000000000000	236	0.18491240166735
42ec13eb-ac05-4b78-a277-bd394ab7d555	Instituto de Ecologia y Desarrollo Sustentable (INEDES)	https://www.gbif.org/publisher/42ec13eb-ac05-4b78-a277-bd394ab7d555	13500	8662	64.16296296296296	8662	64.16296296296296	0	0.00000000000000	8662	64.16296296296296	0	0.00000000000000	0	0.00000000000000	0	0.00000000000000	0	0.00000000000000
c6a4140a-ffd7-44d8-9786-c74e521aa8a0	Universidad Surcolombiana	https://www.gbif.org/publisher/c6a4140a-ffd7-44d8-9786-c74e521aa8a0	1395	890	63.79928315412186	890	63.79928315412186	0	0.00000000000000	890	63.79928315412186	0	0.00000000000000	0	0.00000000000000	0	0.00000000000000	0	0.00000000000000
c8ef7f6c-d48b-4d5d-a7e6-3d64152c2832	Universidad de La Sabana	https://www.gbif.org/publisher/c8ef7f6c-d48b-4d5d-a7e6-3d64152c2832	60	37	61.66666666666667	37	61.66666666666667	0	0.00000000000000	37	61.66666666666667	0	0.00000000000000	0	0.00000000000000	0	0.00000000000000	0	0.00000000000000
f99f2c09-1353-4f24-aab2-f4cbaef67eb1	Universidad Estatal Península de Santa Elena	https://www.gbif.org/publisher/f99f2c09-1353-4f24-aab2-f4cbaef67eb1	902	550	60.97560975609756	0	0.00000000000000	550	60.97560975609756	0	0.00000000000000	0	0.00000000000000	0	0.00000000000000	0	0.00000000000000	0	0.00000000000000
8323831a-d11a-4af8-ad0c-1c1bb9dfce82	Slovak National Museum	https://www.gbif.org/publisher/8323831a-d11a-4af8-ad0c-1c1bb9dfce82	3194	1850	57.92110206637445	124	3.88227927363807	1726	54.03882279273638	124	3.88227927363807	0	0.00000000000000	0	0.00000000000000	0	0.00000000000000	0	0.00000000000000
f795b8d6-bcb8-4885-8842-62583995f058	Estación Patagonia de Investigaciones Interdisciplinarias UC	https://www.gbif.org/publisher/f795b8d6-bcb8-4885-8842-62583995f058	791	435	54.99367888748420	435	54.99367888748420	0	0.00000000000000	435	54.99367888748420	0	0.00000000000000	0	0.00000000000000	0	0.00000000000000	0	0.00000000000000
215fad6d-884d-4127-9635-fad209824cdf	Royal Botanic Gardens Victoria	https://www.gbif.org/publisher/215fad6d-884d-4127-9635-fad209824cdf	1099243	604108	54.95672931280891	604108	54.95672931280891	0	0.00000000000000	47602	4.33043467186054	0	0.00000000000000	0	0.00000000000000	569371	51.79664550968257	0	0.00000000000000
